,Artist,Title,Genre
0,Tiësto & Ava Max,The Motto,Dance
1,Jax Jones Feat. MNEK,Where Did You Go? (Acoustic),Dance
2,Lost Frequencies & Calum Scott,Where Are You Now,Dance
3,Rêve,CTRL + ALT + DEL,Dance
4,"Kx5, deadmau5 & Kaskade Feat. Hayla",Escape,Dance
5,DVBBS Feat. Aloe Blacc,Set Me Free,Dance
6,Sophie Simmons,Love Turns Lonely,Dance
7,Öwnboss & SEVEK,Move Your Body,Dance
8,Swedish House Mafia & The Weeknd,Moth to a Flame,Dance
9,Acraze Feat. Cherish,Do It to It,Dance
10,Armin van Buuren & R3HAB Feat. Simon Ward,Love We Lost,Dance
11,Willy William,Trompeta,Dance
12,Alesso & Katy Perry,When I'm Gone,Dance
13,Zhnark,Baby Girl,Dance
14,Asaf Avidan & The Mojos,One Day/Reckoning Song (Wankelmut Remix),Dance
15,Edward Maya Feat. Vika Jigulina,Stereo Love (MIA Martina Remix Radio Edit),Dance
16,Bob Moses,Love Brand New,Dance
17,Riton & Nightcrawlers Feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),Dance
18,"Ahmed saad Feat. 3enba, zuksh & young zuksh","el melouk -The Kings (BlackTeck, marlexx Remix)",Dance
19,Calvin Harris Feat. Pharrell Williams & Katy Perry & Big Sean,Feels,Dance
20,Sia Feat. Amir,1+1 (Banx & Ranx Remix),Dance
21,Loud Luxury Feat. Brando,Body,Dance
22,Loud Luxury & Frank Walker Feat. Stephen Puth,Like Gold,Dance
23,Martin Solveig & Dragonette,Hello,Dance
24,Swedish House Mafia & Sting,Redlight (Mixed),Dance
25,Bee Gees,Stayin' Alive,Dance
26,Shouse & Robin Schulz,Love Tonight (Robin Schulz Remix),Dance
27,Modjo,Lady (Hear Me Tonight),Dance
28,Avicii,Levels,Dance
29,Gino Soccio,Dancer,Dance
30,Master KG Feat. Nomcebo Zikode,Jerusalema,Dance
31,Clean Bandit Feat. Jess Glynne,Rather Be,Dance
32,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,Dance
33,David Guetta Feat. Sia,Titanium,Dance
34,David Guetta Feat. KiD CuDi,Memories,Dance
35,Baccara,"Yes Sir, I Can Boogie",Dance
36,James Hype,Dancing,Dance
37,Swedish House Mafia Feat. John Martin,Don't You Worry Child,Dance
38,Swedish House Mafia & Connie Constance,Heaven Takes You Home,Dance
39,Corona,The Rhythm Of The Night,Dance
40,Purple Disco Machine & Sophie and the Giants,In The Dark,Dance
41,Armin Van Buuren Feat. Trevor Guthrie,This Is What It Feels Like,Dance
42,Avicii,The Nights,Dance
43,Felix Cartal & Sophie Simmons,Mine,Dance
44,Robin Schulz & Dennis Lloyd,Young Right Now,Dance
45,David Guetta & MORTEN Feat. Lanie Gardner,Dreams [Mixed],Dance
46,Frank Walker Feat. Riley Biederer,Heartbreak Back,Dance
47,Luude Feat. Colin Hay,Down Under,Dance
48,Calvin Harris,Summer,Dance
49,David Guetta Feat. Kelly Rowland,When Love Takes Over,Dance
50,Real McCoy,Another Night,Dance
51,Topic & A7S,Breaking Me,Dance
52,David Guetta Feat. Akon,Sexy Bitch,Dance
53,Enur Feat. Natasja,Calabria 2007,Dance
54,Mike Posner,I Took A Pill In Ibiza (Seeb Remix),Dance
55,Diplo & Miguel,Don’t Forget My Love,Dance
56,Regard & Years & Years,Hallucination,Dance
57,Never Dull Feat. Crystal Waters,In My Mind,Dance
58,Seamus D,Like That,Dance
59,Calvin Harris Feat. Rihanna,This Is What You Came For,Dance
60,The Chainsmokers Feat. Daya,Don't Let Me Down,Dance
61,Lilly Wood & The Prick & Robin Schulz,Prayer In C (Robin Schulz Radio Edit),Dance
62,Imanbek & BYOR,Belly Dancer,Dance
63,Felix Cartal & Lights,Love Me,Dance
64,Alice Deejay,Better Off Alone,Dance
65,Lady Gaga Feat. Colby O'Donis,Just Dance,Dance
66,Joel Corry & Jax Jones Feat. Charli XCX & Saweetie,OUT OUT,Dance
67,Bronski Beat,Smalltown Boy,Dance
68,The Chainsmokers Feat. Halsey,Closer,Dance
69,Daft Punk,Around The World,Dance
70,Regard,Ride It,Dance
71,Snap!,Rhythm Is A Dancer,Dance
72,Bob Sinclar,Rock This Party (Everybody Dance Now),Dance
73,Eiffel 65,Blue (Da Ba Dee),Dance
74,Galantis,Runaway (U & I),Dance
75,The Chainsmokers & Coldplay,Something Just Like This,Dance
76,Marshmello Feat. Khalid,Silence,Dance
77,Cyndi Lauper,All Through The Night,Dance
78,Sofi Tukker,Purple Hat,Dance
79,Calvin Harris,Feel So Close,Dance
80,Calvin Harris & Dua Lipa,One Kiss,Dance
81,"The Cast of RuPaul's Drag Race, Season 14",I Hate People (Willow Pill),Dance
82,Tiësto & Dzeko Feat. Preme & Post Malone,Jackie Chan,Dance
83,Joel Corry Feat. MNEK,Head & Heart,Dance
84,"ATB, Topic & A7S",Your Love (9PM),Dance
85,Yolanda Be Cool & DCUP,We No Speak Americano,Dance
86,Tiësto & KAROL G,Don't Be Shy,Dance
87,MEDUZA Feat. Dermot Kennedy,Paradise,Dance
88,Loud Luxury & Anders,Love No More,Dance
89,will.i.am Feat. Britney Spears,Scream & Shout,Dance
90,Lost Frequencies Feat. Janieck Devy,Reality,Dance
91,DJ Snake Feat. Rick Ross & Rich Brian,Run It,Dance
92,DVBBS & CMC$ Feat. Gia Koka,Not Going Home,Dance
93,"The Cast of RuPaul's Drag Race, Season 14",Fighter (Daya Betty),Dance
94,IAmChino & Pitbull,Discoteca,Dance
95,Calvin Harris Feat. John Newman,Blame,Dance
96,Martin Garrix,Animals,Dance
97,Martin Garrix & Zedd,Follow,Dance
98,FETISH,Cum Check This,Dance
99,Lost Frequencies,Are You With Me,Dance
