Rank,Artist,Title,Genre
1,Tiësto & Ava Max,The Motto,
2,Jax Jones Feat. MNEK,Where Did You Go? (Acoustic),
3,Lost Frequencies & Calum Scott,Where Are You Now,
4,Rêve,CTRL + ALT + DEL,
5,"Kx5, deadmau5 & Kaskade Feat. Hayla",Escape,
6,DVBBS Feat. Aloe Blacc,Set Me Free,
7,Sophie Simmons,Love Turns Lonely,
8,Öwnboss & SEVEK,Move Your Body,
9,Swedish House Mafia & The Weeknd,Moth to a Flame,
10,Acraze Feat. Cherish,Do It to It,
11,Armin van Buuren & R3HAB Feat. Simon Ward,Love We Lost,
12,Willy William,Trompeta,
13,Alesso & Katy Perry,When I'm Gone,
14,Zhnark,Baby Girl,
15,Asaf Avidan & The Mojos,One Day/Reckoning Song (Wankelmut Remix),
16,Edward Maya Feat. Vika Jigulina,Stereo Love (MIA Martina Remix Radio Edit),
17,Bob Moses,Love Brand New,
18,Riton & Nightcrawlers Feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),
19,"Ahmed saad Feat. 3enba, zuksh & young zuksh","el melouk -The Kings (BlackTeck, marlexx Remix)",
20,Calvin Harris Feat. Pharrell Williams & Katy Perry & Big Sean,Feels,
21,Sia Feat. Amir,1+1 (Banx & Ranx Remix),
22,Loud Luxury Feat. Brando,Body,
23,Loud Luxury & Frank Walker Feat. Stephen Puth,Like Gold,
24,Martin Solveig & Dragonette,Hello,
25,Swedish House Mafia & Sting,Redlight (Mixed),
26,Bee Gees,Stayin' Alive,
27,Shouse & Robin Schulz,Love Tonight (Robin Schulz Remix),
28,Modjo,Lady (Hear Me Tonight),
29,Avicii,Levels,
30,Gino Soccio,Dancer,
31,Master KG Feat. Nomcebo Zikode,Jerusalema,
32,Clean Bandit Feat. Jess Glynne,Rather Be,
33,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,
34,David Guetta Feat. Sia,Titanium,
35,David Guetta Feat. KiD CuDi,Memories,
36,Baccara,"Yes Sir, I Can Boogie",
37,James Hype,Dancing,
38,Swedish House Mafia Feat. John Martin,Don't You Worry Child,
39,Swedish House Mafia & Connie Constance,Heaven Takes You Home,
40,Corona,The Rhythm Of The Night,
41,Purple Disco Machine & Sophie and the Giants,In The Dark,
42,Armin Van Buuren Feat. Trevor Guthrie,This Is What It Feels Like,
43,Avicii,The Nights,
44,Felix Cartal & Sophie Simmons,Mine,
45,Robin Schulz & Dennis Lloyd,Young Right Now,
46,David Guetta & MORTEN Feat. Lanie Gardner,Dreams [Mixed],
47,Frank Walker Feat. Riley Biederer,Heartbreak Back,
48,Luude Feat. Colin Hay,Down Under,
49,Calvin Harris,Summer,
50,David Guetta Feat. Kelly Rowland,When Love Takes Over,
51,Real McCoy,Another Night,
52,Topic & A7S,Breaking Me,
53,David Guetta Feat. Akon,Sexy Bitch,
54,Enur Feat. Natasja,Calabria 2007,
55,Mike Posner,I Took A Pill In Ibiza (Seeb Remix),
56,Diplo & Miguel,Don’t Forget My Love,
57,Regard & Years & Years,Hallucination,
58,Never Dull Feat. Crystal Waters,In My Mind,
59,Seamus D,Like That,
60,Calvin Harris Feat. Rihanna,This Is What You Came For,
61,The Chainsmokers Feat. Daya,Don't Let Me Down,
62,Lilly Wood & The Prick & Robin Schulz,Prayer In C (Robin Schulz Radio Edit),
63,Imanbek & BYOR,Belly Dancer,
64,Felix Cartal & Lights,Love Me,
65,Alice Deejay,Better Off Alone,
66,Lady Gaga Feat. Colby O'Donis,Just Dance,
67,Joel Corry & Jax Jones Feat. Charli XCX & Saweetie,OUT OUT,
68,Bronski Beat,Smalltown Boy,
69,The Chainsmokers Feat. Halsey,Closer,
70,Daft Punk,Around The World,
71,Regard,Ride It,
72,Snap!,Rhythm Is A Dancer,
73,Bob Sinclar,Rock This Party (Everybody Dance Now),
74,Eiffel 65,Blue (Da Ba Dee),
75,Galantis,Runaway (U & I),
76,The Chainsmokers & Coldplay,Something Just Like This,
77,Marshmello Feat. Khalid,Silence,
78,Cyndi Lauper,All Through The Night,
79,Sofi Tukker,Purple Hat,
80,Calvin Harris,Feel So Close,
81,Calvin Harris & Dua Lipa,One Kiss,
82,"The Cast of RuPaul's Drag Race, Season 14",I Hate People (Willow Pill),
83,Tiësto & Dzeko Feat. Preme & Post Malone,Jackie Chan,
84,Joel Corry Feat. MNEK,Head & Heart,
85,"ATB, Topic & A7S",Your Love (9PM),
86,Yolanda Be Cool & DCUP,We No Speak Americano,
87,Tiësto & KAROL G,Don't Be Shy,
88,MEDUZA Feat. Dermot Kennedy,Paradise,
89,Loud Luxury & Anders,Love No More,
90,will.i.am Feat. Britney Spears,Scream & Shout,
91,Lost Frequencies Feat. Janieck Devy,Reality,
92,DJ Snake Feat. Rick Ross & Rich Brian,Run It,
93,DVBBS & CMC$ Feat. Gia Koka,Not Going Home,
94,"The Cast of RuPaul's Drag Race, Season 14",Fighter (Daya Betty),
95,IAmChino & Pitbull,Discoteca,
96,Calvin Harris Feat. John Newman,Blame,
97,Martin Garrix,Animals,
98,Martin Garrix & Zedd,Follow,
99,FETISH,Cum Check This,
100,Lost Frequencies,Are You With Me,
