Rank,Artist,Title,Genre
1,Camila Cabello Feat. Ed Sheeran,Bam Bam,
2,Nirvana,Something In The Way,
3,Harry Styles,As It Was,
4,Tiësto & Ava Max,The Motto,
5,Latto,Big Energy,
6,Farruko,Pepas,
7,Jack Harlow,First Class,
8,Lauren Spencer-Smith,Fingers Crossed,
9,Fireboy DML & Ed Sheeran,Peru,
10,Arctic Monkeys,I Bet You Look Good On The Dancefloor,
11,Tate McRae,she's all i wanna be,
12,bbno$ Feat. Rich Brian,edamame,
13,"Imagine Dragons, JID & League of Legends","Enemy (From the series Arcane League of Legends"")""",
14,Elton John & Dua Lipa,Cold Heart (PNAU Remix),
15,Glass Animals,Heat Waves,
16,Mark Morrison,Return Of The Mack,
17,Jax Jones Feat. MNEK,Where Did You Go? (Acoustic),
18,Banx & Ranx & Rêve,Headphones,
19,Lost Frequencies & Calum Scott,Where Are You Now,
20,Doja Cat,Woman,
21,Shakira,"Whenever, Wherever",
22,Annie Lennox,Walking On Broken Glass,
23,Pitbull Feat. Anthony Watts & DJWS,I Feel Good,
24,Lauryn Hill,Ex-Factor,
25,Shawn Mendes,When You're Gone (Acoustic),
26,Lil Nas X,THATS WHAT I WANT,
27,Panic! At The Disco,House Of Memories,
28,Lizzo,About Damn Time,
29,Young Nudy Feat. 21 Savage,EA,
30,5 Seconds of Summer,COMPLETE MESS,
31,AnnenMayKantereit & Giant Rooks,Tom's Diner,
32,Em Beihold,Numb Little Bug,
33,Ed Sheeran,Shivers,
34,Harry Styles,Adore You,
35,Walker Hayes,AA,
36,Justin Bieber,Ghost,
37,GAYLE,abcdefu,
38,Zach Zoya & Benny Adam,Start Over,
39,Louis Theroux,"My Money Don’t Jiggle, Jiggle, It Folds",
40,Latto & Mariah Carey Feat. DJ Khaled,Big Energy (Remix),
41,Cody Johnson,'Til You Can't,
42,Roxane Filion,Au temps qui ne revient plus,
43,Megan Thee Stallion & Dua Lipa,Sweetest Pie,
44,Rêve,CTRL + ALT + DEL,
45,Ed Sheeran,Bad Habits,
46,"Kx5, deadmau5 & Kaskade Feat. Hayla",Escape,
47,DVBBS Feat. Aloe Blacc,Set Me Free,
48,Dove Cameron,Boyfriend,
49,Willow,Wait A Minute!,
50,Sophie Simmons,Love Turns Lonely,
51,Guns N' Roses,Sweet Child O' Mine,
52,Charlie Puth,Light Switch,
53,S1mba Feat. DTG,Rover,
54,Snoop Dogg & Wiz Khalifa Feat. Bruno Mars,"Young, Wild & Free",
55,Demi Lovato,Cool For The Summer,
56,Danzig,Mother,
57,Black Sherif,Kwaku the Traveller,
58,Pheelz & BNXN,Finesse,
59,Red Hot Chili Peppers,Black Summer,
60,The Kid LAROI & Justin Bieber,Stay,
61,Öwnboss & SEVEK,Move Your Body,
62,Elley Duhé,MIDDLE OF THE NIGHT,
63,Timbaland Feat. Keri Hilson & D.O.E.,The Way I Are,
64,Marshmello & Jonas Brothers,Leave Before You Love Me,
65,The Weeknd,Out of Time,
66,Tom Odell,Another Love,
67,Frank Sinatra,My Way,
68,Bauhaus,Bela Lugosi's Dead,
69,Wande Coal & DJ Tunez,Iskaba,
70,Lil Nas X & Jack Harlow,INDUSTRY BABY,
71,COIN,Chapstick,
72,Swedish House Mafia & The Weeknd,Moth to a Flame,
73,INXS,Never Tear Us Apart,
74,Davina Michelle,Arcade,
75,Engelbert Humperdinck,A Man Without Love,
76,Cole Swindell & Lainey Wilson,Never Say Never,
77,Nicky Youre & Dazy,Sunroof,
78,Luke Combs,Doin' This,
79,Acraze Feat. Cherish,Do It to It,
80,The Kid LAROI,Thousand Miles,
81,Money Mone,Family First,
82,Morgan Wallen,Wasted On You,
83,Alyssa Reid,roses,
84,Shouse,Love Tonight,
85,Anitta,Envolver,
86,BIA & J. Cole,LONDON,
87,LIL SHORDIE SCOTT,Rocking A Cardigan in Atlanta,
88,Ed Sheeran,Overpass Graffiti,
89,Meek Mill,Dreams And Nightmares,
90,The Chainsmokers,High,
91,Jade Eagleson,She Don't Know,
92,Jnr Choi,TO THE MOON,
93,Armin van Buuren & R3HAB Feat. Simon Ward,Love We Lost,
94,Spice Feat. Sean Paul & Shaggy,Go Down Deh,
95,Kygo Feat. DNCE,Dancing Feet,
96,Lil Baby,In A Minute,
97,Willy William,Trompeta,
98,J Balvin & Ed Sheeran,Sigue,
99,Måneskin,Beggin',
100,Alesso & Katy Perry,When I'm Gone,
101,"Diljit Dosanjh, Tory Lanez & Ikky",Chauffeur,
102,The Hollies,Long Cool Woman (In A Black Dress),
103,Zhnark,Baby Girl,
104,The Weeknd,Sacrifice,
105,Fefe Dobson,FCKN IN LOVE,
106,Bailey Zimmerman,Fall In Love,
107,Indila,Ainsi Bas La Vida,
108,DJ KABOO,Enta,
109,Asaf Avidan & The Mojos,One Day/Reckoning Song (Wankelmut Remix),
110,Cafuné,Tek It,
111,"Kay Flock, Cardi B & Dougie B Feat. Bory300",Shake It [A Cappella],
112,victoria,Closer (Vol.1 Ch.1),
113,Majid Jordan,Waves of Blue,
114,Josh Ross,First Taste of Gone,
115,Rema,Calm Down,
116,Yeat,Monëy so big,
117,Orla Gartland,Why Am I Like This?,
118,Usher Feat. Young Jeezy,Love In This Club (Main Version),
119,Kanye West Feat. Future,Happy,
120,The Goo Goo Dolls,Iris,
121,Ludacris Feat. Shawnna,What's Your Fantasy,
122,Sally Sossa & Lil Durk,Star Song,
123,CKay,Love Nwantiti (Ah Ah Ah),
124,Tyler Joe Miller,Wild As Her (Stripped),
125,Tesher & Jason Derulo,Jalebi Baby,
126,Edward Maya Feat. Vika Jigulina,Stereo Love (MIA Martina Remix Radio Edit),
127,Lauren Spencer-Smith,Flowers,
128,Walker Hayes,Fancy Like,
129,Adele,Oh My God,
130,CKay Feat. Franglish,love nwantiti (French Remix),
131,Fatboy Slim,Praise You,
132,BoyWithUke,Toxic,
133,"Skylar Grey, Polo G, Mozzy & Eminem",Last One Standing (From Venom: Let There Be Carnage),
134,Bob Moses,Love Brand New,
135,Tyler Shaw,Love You Still (abcdefu romantic version),
136,Lee Brice,Soul,
