,Artist,Title,Genre
0,Harry Styles,As It Was,Pop
1,Polimá Westcoast & Pailita,ULTRA SOLO,Pop
2,JVKE,this is what falling in love feels like,Pop
3,Acraze Feat. Cherish,Do It to It,Dance
4,Elton John & Dua Lipa,Cold Heart (PNAU Remix),Pop
5,Bruno Mars,Locked Out Of Heaven,Pop
6,Engelbert Humperdinck,A Man Without Love,Pop
7,Demi Lovato,Cool For The Summer,Pop
8,Fake Blood,I Think I Like It,Dance
9,Camila Cabello Feat. Ed Sheeran,Bam Bam,Pop
10,The Beatnuts Feat. Method Man,Se Acabo Remix (Explicit),Hip-Hop Rap
11,INXS,Never Tear Us Apart,Pop
12,KG970,Nos Da Igual,Hip-Hop Rap
13,Santa Fe Klan,Mar y Tierra,Hip-Hop Rap
14,Daft Punk Feat. Pharrell Williams,Get Lucky,Pop
15,Calvin Harris Feat. Pharrell Williams & Katy Perry & Big Sean,Feels,Dance
16,Funk Brasil Mix,Vai Malandra,Pop
17,Elley Duhé,MIDDLE OF THE NIGHT,Pop
18,GAYLE,abcdefu,Pop
19,Paloma Faith,Only Love Can Hurt Like This (Slowed Down Version),Pop
20,Michael Bublé,Sway,Pop
21,Tom Odell,Another Love,Pop
22,Capital Cities,Safe And Sound,Pop
23,Santiago Novello,Cayo la Noche X Diles X Soy Peor (Mashup),Pop
24,LIL SHORDIE SCOTT,Rocking A Cardigan in Atlanta,Hip-Hop Rap
25,Harry Styles,Sign Of The Times,Pop
26,Shawn Mendes,There's Nothing Holdin' Me Back,Pop
27,Lykke Li,I Follow Rivers (The Magician Remix),Pop
28,El Burger,No tienes motivacion,Hip-Hop Rap
29,The Outfield,Your Love,Pop
30,Young Nudy Feat. 21 Savage,EA,Hip-Hop Rap
31,Baccara,"Yes Sir, I Can Boogie",Dance
32,Joy Crookes,Feet Don't Fail Me Now,Pop
33,Marshmello & Jonas Brothers,Leave Before You Love Me,Pop
34,Nelly Furtado,Say It Right,Pop
35,Gera MX & Santa Fe Klan,Nadie Te Podrá Olvidar,Hip-Hop Rap
36,Jack Harlow,First Class,Hip-Hop Rap
37,Labrinth,Mount Everest,Pop
38,Mark Ronson Feat. Miley Cyrus,Nothing Breaks Like A Heart,Pop
39,Adele,Oh My God,Pop
40,Charlie Puth,Light Switch,Pop
41,Eminem,Without Me,Hip-Hop Rap
42,Paloma Faith,Only Love Can Hurt Like This,Pop
43,The Kid LAROI & Justin Bieber,Stay,Pop
44,Kidd Keo,Dracukeo,Hip-Hop Rap
45,Coolio Feat. L.V.,Gangsta's Paradise,Hip-Hop Rap
46,Tiësto & KAROL G,Don't Be Shy,Dance
47,Bruno Mars,When I Was Your Man,Pop
48,Olivia Rodrigo,drivers license,Pop
49,Paskman & Rafa Villalba,Chiquetere,Dance
50,Akon,Lonely,Hip-Hop Rap
51,Doja Cat Feat. SZA,Kiss Me More,Pop
52,"Kion Studio, Degans & Pure Negga",Mamá,Hip-Hop Rap
53,La Santa Grifa,Tocame,Hip-Hop Rap
54,Maroon 5,Misery,Pop
55,The Black Eyed Peas,I Gotta Feeling,Pop
56,Latto,Big Energy,Hip-Hop Rap
57,Ed Sheeran,Bad Habits,Pop
58,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),Pop
59,VTORNIK,Money Rain (Phonk Remix),Hip-Hop Rap
60,Orla Gartland,Why Am I Like This?,Pop
61,BoyWithUke,Toxic,Pop
62,bbno$ Feat. Rich Brian,edamame,Hip-Hop Rap
63,Dido,Thank You,Pop
64,Aaron Smith Feat. Luvli,Dancin (Krono Remix),Pop
65,YLL GRYM,I Will Be One of the Greatest,Hip-Hop Rap
