Rank,Artist,Title,Genre
1,Nirvana,Something In The Way,
2,Jack Harlow,First Class,
3,Harry Styles,As It Was,
4,Latto,Big Energy,
5,Jnr Choi,TO THE MOON,
6,Fireboy DML & Ed Sheeran,Peru,
7,Camila Cabello Feat. Ed Sheeran,Bam Bam,
8,Lauren Spencer-Smith,Fingers Crossed,
9,Em Beihold,Numb Little Bug,
10,Becky G. & KAROL G,MAMIII,
11,"Imagine Dragons, JID & League of Legends","Enemy (From the series Arcane League of Legends"")""",
12,Elton John & Dua Lipa,Cold Heart (PNAU Remix),
13,Dove Cameron,Boyfriend,
14,Lil Baby,In A Minute,
15,Muni Long,Hrs and Hrs,
16,Queen Naija & Big Sean,Hate Our Love,
17,Tiësto & Ava Max,The Motto,
18,YG Feat. J. Cole & Moneybagg Yo,Scared Money,
19,Tate McRae,she's all i wanna be,
20,Nardo Wick Feat. Future & Lil Baby,Me or Sum,
21,Doja Cat,Woman,
22,Glass Animals,Heat Waves,
23,"Fivio Foreign, Kanye West & Alicia Keys",City of Gods,
24,Megan Thee Stallion & Dua Lipa,Sweetest Pie,
25,"Bruno Mars, Anderson .Paak & Silk Sonic",Love's Train,
26,Post Malone & The Weeknd,One Right Now,
27,Arctic Monkeys,I Bet You Look Good On The Dancefloor,
28,SZA,I Hate U,
29,Tyga & Doja Cat,Freaky Deaky,
30,Farruko,Pepas,
31,5 Seconds of Summer,COMPLETE MESS,
32,Shawn Mendes,When You're Gone (Acoustic),
33,Mark Morrison,Return Of The Mack,
34,Kodak Black,Super Gremlin,
35,Lil Nas X,THATS WHAT I WANT,
36,Lizzo,About Damn Time,
37,Ella Mai,DFMU,
38,Fivio Foreign & Queen Naija Feat. Coi Leray,What's My Name,
39,Morgan Wallen,Wasted On You,
40,Walker Hayes,AA,
41,JID Feat. 21 Savage & Baby Tate,Surround Sound,
42,Cody Johnson,'Til You Can't,
43,Gucci Mane Feat. Lil Durk,Rumors,
44,Ed Sheeran,Shivers,
45,Shakira,"Whenever, Wherever",
46,Money Mone,Family First,
47,Willow,Wait A Minute!,
48,Coi Leray & Nicki Minaj,Blick Blick,
49,AnnenMayKantereit & Giant Rooks,Tom's Diner,
50,Justin Bieber,Ghost,
51,SleazyWorld Go,Sleazy Flow,
52,Annie Lennox,Walking On Broken Glass,
53,The Kid LAROI & Justin Bieber,Stay,
54,Ed Sheeran,Bad Habits,
55,Tems,Free Mind,
56,Megan Thee Stallion,Plan B,
57,Nicki Minaj & Lil Baby,Do We Have A Problem?,
58,Young Nudy Feat. 21 Savage,EA,
59,Summer Walker & SZA,No Love,
60,The Walters,I Love You So,
61,Cole Swindell & Lainey Wilson,Never Say Never,
62,BADBADNOTGOOD Feat. Charlotte Day Wilson,In Your Eyes,
63,Lil Durk Feat. Gunna,What Happened To Virgil,
64,Lauryn Hill,Ex-Factor,
65,Kodak Black,Usain Boo,
66,Doja Cat,Need To Know,
67,BIA & J. Cole,LONDON,
68,Harry Styles,Adore You,
69,Cafuné,Tek It,
