,Artist,Title,Genre
0,Jack Harlow,First Class,Hip-Hop Rap
1,Harry Styles,As It Was,Pop
2,Latto,Big Energy,Hip-Hop Rap
3,Jnr Choi,TO THE MOON,Hip-Hop Rap
4,Camila Cabello Feat. Ed Sheeran,Bam Bam,Pop
5,Lauren Spencer-Smith,Fingers Crossed,Pop
6,Em Beihold,Numb Little Bug,Pop
7,Elton John & Dua Lipa,Cold Heart (PNAU Remix),Pop
8,Dove Cameron,Boyfriend,Pop
9,Lil Baby,In A Minute,Hip-Hop Rap
10,Tiësto & Ava Max,The Motto,Dance
11,YG Feat. J. Cole & Moneybagg Yo,Scared Money,Hip-Hop Rap
12,Tate McRae,she's all i wanna be,Pop
13,Nardo Wick Feat. Future & Lil Baby,Me or Sum,Hip-Hop Rap
14,Doja Cat,Woman,Pop
15,"Fivio Foreign, Kanye West & Alicia Keys",City of Gods,Hip-Hop Rap
16,Megan Thee Stallion & Dua Lipa,Sweetest Pie,Pop
17,Post Malone & The Weeknd,One Right Now,Hip-Hop Rap
18,Tyga & Doja Cat,Freaky Deaky,Hip-Hop Rap
19,5 Seconds of Summer,COMPLETE MESS,Pop
20,Shawn Mendes,When You're Gone (Acoustic),Pop
21,Mark Morrison,Return Of The Mack,Pop
22,Kodak Black,Super Gremlin,Hip-Hop Rap
23,Lil Nas X,THATS WHAT I WANT,Pop
24,Lizzo,About Damn Time,Pop
25,Fivio Foreign & Queen Naija Feat. Coi Leray,What's My Name,Hip-Hop Rap
26,Morgan Wallen,Wasted On You,Country
27,Walker Hayes,AA,Country
28,JID Feat. 21 Savage & Baby Tate,Surround Sound,Hip-Hop Rap
29,Cody Johnson,'Til You Can't,Country
30,Gucci Mane Feat. Lil Durk,Rumors,Hip-Hop Rap
31,Ed Sheeran,Shivers,Pop
32,Money Mone,Family First,Hip-Hop Rap
33,Coi Leray & Nicki Minaj,Blick Blick,Hip-Hop Rap
34,Justin Bieber,Ghost,Pop
35,SleazyWorld Go,Sleazy Flow,Hip-Hop Rap
36,Annie Lennox,Walking On Broken Glass,Pop
37,The Kid LAROI & Justin Bieber,Stay,Pop
38,Ed Sheeran,Bad Habits,Pop
39,Megan Thee Stallion,Plan B,Hip-Hop Rap
40,Nicki Minaj & Lil Baby,Do We Have A Problem?,Hip-Hop Rap
41,Young Nudy Feat. 21 Savage,EA,Hip-Hop Rap
42,Cole Swindell & Lainey Wilson,Never Say Never,Country
43,Lil Durk Feat. Gunna,What Happened To Virgil,Hip-Hop Rap
44,Lauryn Hill,Ex-Factor,Hip-Hop Rap
45,Kodak Black,Usain Boo,Hip-Hop Rap
46,Doja Cat,Need To Know,Pop
47,BIA & J. Cole,LONDON,Hip-Hop Rap
48,Harry Styles,Adore You,Pop
49,Black Sherif,Kwaku the Traveller,Hip-Hop Rap
50,DaBaby & YoungBoy Never Broke Again,Bestie,Hip-Hop Rap
51,Lil Nas X & Jack Harlow,INDUSTRY BABY,Hip-Hop Rap
52,Blxst & Tyga Feat. Ty Dolla $ign,Chosen,Hip-Hop Rap
53,Wizkid Feat. Justin Bieber & Tems,Essence [Mixed],Pop
54,Doja Cat & The Weeknd,You Right,Pop
55,"Kay Flock, Cardi B & Dougie B Feat. Bory300",Shake It [A Cappella],Hip-Hop Rap
56,GAYLE,abcdefu,Pop
57,Latto & Mariah Carey Feat. DJ Khaled,Big Energy (Remix),Hip-Hop Rap
58,Gunna,Banking On Me,Hip-Hop Rap
59,Luke Combs,Doin' This,Country
60,Vince Staples & Mustard,MAGIC,Hip-Hop Rap
61,Doja Cat,Get Into It (Yuh),Pop
62,LIL SHORDIE SCOTT,Rocking A Cardigan in Atlanta,Hip-Hop Rap
63,Lil Baby,Right On,Hip-Hop Rap
64,ERNEST Feat. Morgan Wallen,Flower Shops,Country
65,Future,Worst Day,Hip-Hop Rap
