Shazam Top 100 Hip-Hop/Rap
"Monday, 25 April 2022 [performance over the past 7 days]"
Rank,Artist,Title
1,"Latto","Big Energy"
2,"Jack Harlow","First Class"
3,"bbno$ Feat. Rich Brian","edamame"
4,"Lauryn Hill","Ex-Factor"
5,"Young Nudy Feat. 21 Savage","EA"
6,"Latto & Mariah Carey Feat. DJ Khaled","Big Energy (Remix)"
7,"S1mba Feat. DTG","Rover"
8,"Snoop Dogg & Wiz Khalifa Feat. Bruno Mars","Young, Wild & Free"
9,"Black Sherif","Kwaku the Traveller"
10,"Timbaland Feat. Keri Hilson & D.O.E.","The Way I Are"
11,"Lil Nas X & Jack Harlow","INDUSTRY BABY"
12,"Money Mone","Family First"
13,"BIA & J. Cole","LONDON"
14,"LIL SHORDIE SCOTT","Rocking A Cardigan in Atlanta"
15,"Meek Mill","Dreams And Nightmares"
16,"Jnr Choi","TO THE MOON"
17,"Lil Baby","In A Minute"
18,"DJ KABOO","Enta"
19,"Kay Flock, Cardi B & Dougie B Feat. Bory300","Shake It [A Cappella]"
20,"Yeat","Monëy so big"
21,"Ludacris Feat. Shawnna","What's Your Fantasy"
22,"Sally Sossa & Lil Durk","Star Song"
23,"Tesher & Jason Derulo","Jalebi Baby"
24,"Skylar Grey, Polo G, Mozzy & Eminem","Last One Standing (From Venom: Let There Be Carnage)"
25,"Nicki Minaj Feat. Fivio Foreign","We Go Up"
26,"JID Feat. 21 Savage & Baby Tate","Surround Sound"
27,"Dave","Starlight"
28,"Tyga & Doja Cat","Freaky Deaky"
29,"Insane Clown Posse","Boogie Woogie Wu"
30,"Lil Tjay","In My Head"
31,"Fivio Foreign, Kanye West & Alicia Keys","City of Gods"
32,"The Beatnuts Feat. Method Man","Se Acabo Remix (Explicit)"
33,"Coolio Feat. L.V.","Gangsta's Paradise"
34,"Fivio Foreign & Queen Naija Feat. Coi Leray","What's My Name"
35,"FouKi Feat. Jay Scøtt","Copilote"
36,"YG Feat. J. Cole & Moneybagg Yo","Scared Money"
37,"Drake Feat. 21 Savage & Project Pat","Knife Talk [Mixed]"
38,"Kodak Black","Super Gremlin"
39,"Saweetie Feat. H.E.R.","Closer"
40,"BONES","AirplaneMode"
41,"Post Malone & The Weeknd","One Right Now"
42,"Macklemore & Ryan Lewis Feat. Ray Dalton","Can't Hold Us"
43,"24kGoldn Feat. iann dior","Mood"
44,"Southside & Future Feat. Travis Scott","Hold That Heat"
45,"Nardo Wick Feat. Future & Lil Baby","Me or Sum"
46,"Post Malone","Circles"
47,"Kevin Gates Feat. Juicy J","Thinking With My D**k"
48,"VTORNIK","Money Rain (Phonk Remix)"
49,"Young Stoner Life, Young Thug & Gunna Feat. Drake","Solid"
50,"Puff Daddy Feat. Faith Evans & 112","I'll Be Missing You"
51,"Fetty Wap","Trap Queen"
52,"Eminem","Without Me"
53,"Flo Rida Feat. T-Pain","Low"
54,"Young Slo-Be","I Love You"
55,"Dave & Stormzy","Clash"
56,"Dr. Dre Feat. Snoop Dogg","The Next Episode"
57,"YLL GRYM","I Will Be One of the Greatest"
58,"Edotsfitted","King Of Leaks"
59,"La-Sun","Trust Issues"
60,"Coi Leray & Nicki Minaj","Blick Blick"
61,"IAMAKA","Murder Me"
62,"Russ Feat. Ktlyn","HANDSOMER (Extended Remix)"
63,"Lil Durk Feat. Morgan Wallen","Broadway Girls"
64,"Kodak Black","Pimpin Ain't Eazy"
65,"DaBaby & YoungBoy Never Broke Again","Bestie"
66,"Key Glock","Ambition For Cash"
67,"Jack Harlow","Nail Tech"
68,"Lil Durk Feat. Gunna","What Happened To Virgil"
69,"SleazyWorld Go","Sleazy Flow"
70,"50 Cent","In Da Club"
71,"The Coup","My Favorite Mutiny"
72,"Kenny "Dope" Pres. The Bucketheads","The Bomb! (These Sounds Fall Into My Mind)"
73,"Drake Feat. WizKid & Kyla","One Dance"
74,"Dr. Dre Feat. Snoop Dogg","Still D.R.E."
75,"Everlast","What It's Like"
76,"Oasis","Wonderwall"
77,"Russ Feat. Ktlyn","HANDSOMER (Remix)"
78,"FouKi","Bijou"
79,"Jay-Z & KanYe West","Ni**as In Paris"
80,"Blxst & Tyga Feat. Ty Dolla $ign","Chosen"
81,"JBEE & Mixtape Madness","Next Up - S4-E2, Pt. 1"
82,"The Black Eyed Peas","Where Is The Love?"
83,"Mac Miller Feat. Bilal","Congratulations"
84,"The Kid LAROI","WITHOUT YOU"
85,"Pusha T Feat. JAY-Z & Pharrell Williams","Neck & Wrist"
86,"The Notorious B.I.G.","Hypnotize"
87,"2Pac & Dr. Dre & Roger Troutman","California Love (Remix)"
88,"Drake Feat. Rihanna","Take Care"
89,"SalmaneAK","Sturdy Top Shotta"
90,"House Of Pain","Jump Around"
91,"Ivy Sole","West"
92,"03 Greedo","Substance"
93,"Potter Payper Feat. Tiggs Da Author","Gangsteritus"
94,"Jay-Z Feat. Alicia Keys","Empire State Of Mind"
95,"SL","Tropical"
96,"Liilz Feat. ZieZie","Glad U Came"
97,"Gunna Feat. Lil Yachty","Drip or Drown Remix"
98,"Megan Thee Stallion","Plan B"
99,"Lil Baby","Right On"
100,"Loud Luxury & Bryce Vine","I'm Not Alright"
