Shazam Top 100 Dance
"Thursday, 28 April 2022 [performance over the past 7 days]"
Rank,Artist,Title
1,"Fake Blood","I Think I Like It"
2,"Acraze Feat. Cherish","Do It to It"
3,"Calvin Harris Feat. Pharrell Williams & Katy Perry & Big Sean","Feels"
4,"Paskman & Rafa Villalba","Chiquetere"
5,"Bee Gees","Stayin' Alive"
6,"Tiësto & KAROL G","Don't Be Shy"
7,"Baccara","Yes Sir, I Can Boogie"
8,"DJ Snake Feat. Bipolar Sunshine","Middle"
9,"Tiësto & Ava Max","The Motto"
10,"Silent Circle","Touch In The Night (Crash Version)"
11,"RÜFÜS DU SOL","Innerbloom"
12,"Chiquetere Band","Chiquetere"
13,"Never Dull Feat. Crystal Waters","In My Mind"
14,"Eiffel 65","Blue (Da Ba Dee)"
15,"Alok & Bruno Martini Feat. Zeeba","Hear Me Now"
16,"David Guetta, Becky Hill & Ella Henderson","Crazy What Love Can Do"
17,"Lilly Wood & The Prick & Robin Schulz","Prayer In C (Robin Schulz Radio Edit)"
18,"Modjo","Lady (Hear Me Tonight)"
19,"Avicii","The Nights"
20,"Round Table Knights","Calypso"
21,"Regard","Ride It"
22,"Delaporte","Cariñito"
23,"Deorro","Perdoname"
24,"Alan Walker","Faded"
25,"Benny Benassi Pres. The Biz","Satisfaction"
26,"Dynoro & Gigi D’Agostino","In My Mind"
27,"Mike Posner","I Took A Pill In Ibiza (Seeb Remix)"
28,"Swedish House Mafia Feat. John Martin","Don't You Worry Child"
29,"Alice Deejay","Better Off Alone"
30,"Enur Feat. Natasja","Calabria 2007"
31,"Jonny McGovern","Man Areas"
32,"Majestic & Boney M.","Rasputin"
33,"Guru Josh Project","Infinity 2008 (Klaas Vocal Edit)"
34,"Daft Punk","Around The World"
35,"Lost Frequencies & Calum Scott","Where Are You Now"
36,"Avicii","Waiting For Love"
37,"Calvin Harris","Summer"
38,"The Chainsmokers & Coldplay","Something Just Like This"
39,"Boys Town Gang","Can't Take My Eyes Off You"
40,"Corona","The Rhythm Of The Night"
41,"Kygo Feat. Conrad Sewell","Firestone"
42,"Allen Mock Feat. Chow Chow","Phantom"
43,"Jax Jones Feat. MNEK","Where Did You Go? (Acoustic)"
44,"Floorfilla","The Hypno"
45,"David Guetta Feat. KiD CuDi","Memories"
46,"Bee Gees","How Deep Is Your Love"
47,"James Hype & Tita Lau","Disconnected"
48,"David Guetta Feat. Akon","Sexy Bitch"
49,"Cevin Fisher Feat. Loleatta Holloway","You Got Me Burning Up! (Prok & Fitch Remix)"
50,"Alesso Feat. Tove Lo","Heroes (We Could Be)"
51,"Lost Frequencies Feat. Janieck Devy","Reality"
52,"Topic & A7S","Breaking Me"
53,"The Chainsmokers Feat. Daya","Don't Let Me Down"
54,"Öwnboss & SEVEK","Move Your Body"
55,"Purple Disco Machine","Body Funk"
56,"Calvin Harris","Feel So Close"
57,"AronChupa","I'm An Albatraoz"
58,"Ne Skazhu Feat. Us3ll3ss","Useless Weaponry"
59,"Chris Brown & Deorro","Five More Hours"
60,"Boris Brejcha Feat. Laura Korinth","Gravity"
61,"FISHER","Losing It"
62,"Alesso & Katy Perry","When I'm Gone"
63,"ATB, Topic & A7S","Your Love (9PM)"
64,"Skrillex & Damian "Jr. Gong" Marley","Make It Bun Dem"
65,"Trans-X","Living On Video"
66,"DJ Snake Feat. Justin Bieber","Let Me Love You"
67,"Swedish House Mafia & The Weeknd","Moth to a Flame"
68,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday (Dopamine Re-Edit)"
69,"Purple Disco Machine","Dished (Male Stripper)"
70,"Malaa & DJ Snake","Ring The Alarm (Habstrakt Remix) [Mixed]"
71,"Clean Bandit Feat. Sean Paul & Anne-Marie","Rockabye"
72,"Calvin Harris Feat. Rihanna","This Is What You Came For"
73,"AVAION","Pieces"
74,"Bob Sinclar","Love Generation"
75,"Luis Alvarado","The Muzik (Original Mix)"
76,"Alexandra Stan","Mr. Saxobeat"
77,"David Guetta Feat. Sia","Titanium"
78,"Kygo Feat. Parson James","Stole The Show"
79,"Jonas Blue","Perfect Strangers"
80,"Bingo Players Feat. Far East Movement","Get Up (Rattle)"
81,"The Flirts","Danger (Remix)"
82,"Martin Solveig & Dragonette","Hello"
83,"Calvin Harris & Sam Smith","Promises"
84,"Lost Frequencies","Are You With Me"
85,"Tapps","My Forbidden Lover (Original 12" Mix)"
86,"Imanbek & BYOR","Belly Dancer"
87,"Pháo","2 Phút Hơn (KAIZ Remix)"
88,"Luude Feat. Colin Hay","Down Under"
89,"Studio Killers","Jenny"
90,"Michael Gray","The Weekend"
91,"DJ Shawny","Get Get Down"
92,"David Guetta Feat. Ne-Yo & Akon","Play Hard (New Edit)"
93,"Avicii","Levels"
94,"Bronski Beat","Smalltown Boy"
95,"Marc Philippe","Dancer in the Dark"
96,"The Chainsmokers Feat. Halsey","Closer"
97,"Calvin Harris Feat. Ellie Goulding","Outside"
98,"Audioiko, Redemm & Arely Vega","PORQUE TE VAS"
99,"Gigi D'Agostino","L'amour Toujours"
100,"Zhnark","Baby Girl"
