Rank,Artist,Title,Genre
1,The Beatnuts Feat. Method Man,Se Acabo Remix (Explicit),
2,KG970,Nos Da Igual,
3,Santa Fe Klan,Mar y Tierra,
4,Latto,Big Energy,
5,Jack Harlow,First Class,
6,Gera MX & Santa Fe Klan,Nadie Te Podrá Olvidar,
7,YLL GRYM,I Will Be One of the Greatest,
8,"Tyler, The Creator",See You Again,
9,Eminem,Without Me,
10,Young Nudy Feat. 21 Savage,EA,
11,Joseline Hernandez,Vegas (I Wanna Ride),
12,Coolio Feat. L.V.,Gangsta's Paradise,
13,bbno$ Feat. Rich Brian,edamame,
14,Matias Juarez & Trapzongo,Que Te Parece,
15,Kidd Keo,Dracukeo,
16,The Living Tombstone,My Ordinary Life,
17,La Santa Grifa,Tocame,
18,Akon,Lonely,
19,Insane Clown Posse,Boogie Woogie Wu,
20,El Burger,No tienes motivacion,
21,VTORNIK,Money Rain (Phonk Remix),
22,Lil Nas X & Jack Harlow,INDUSTRY BABY,
23,03 Greedo,Substance,
24,LIL SHORDIE SCOTT,Rocking A Cardigan in Atlanta,
25,Yeat,Monëy so big,
26,La Santa Grifa,Piel Con Piel,
27,"Kion Studio, Degans & Pure Negga",Mamá,
28,Aleman & L-Gante,Requisito 420,
29,Shiloh Dynasty & Shiloh Beat,I Don’t Want,
30,Santa Fe Klan Feat. Neto Peña & Yoss Bones,Debo Entender,
31,Jay-Z Feat. Alicia Keys,Empire State Of Mind,
32,BONES,AirplaneMode,
33,"lusttqwe, Belaxs & orhanyigit",Money Rain (slowed+reverb),
34,Alex Luna & DAAZ,Te Marqué Pedo,
35,"La Loquera, Charles Ans & Neto Peña",Charles Ans x Neto Peña x Yoss Bones - LQRA Session #5,
36,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),
37,Bad Bunny,Tu No Metes Cabra,
38,S1mba Feat. DTG,Rover,
39,ze6ut Can Alagöz,Malo Tebya,
40,Ricky Blaze Feat. Alexus Rose & Beenie Man,Apart,
41,Nelly Feat. Kelly Rowland,Dilemma,
42,Macklemore & Ryan Lewis Feat. Wanz,Thrift Shop,
43,K'naan Feat. Adam Levine,Bang Bang,
44,"Bigoblin Feat. Crazy Point, Youngkilla73 & DaBolyy",Waka Waka [Remix],
45,Aleman,Categoría 5 / Huracán,
46,j^p^n,Bloom,
47,Kid Cudi Feat. MGMT & Ratatat,Pursuit Of Happiness (Steve Aoki Remix),
48,Jessi,ZOOM,
49,"SHADXWBXRN, ARCHEZ & KXNVRA",PRINCE OF DARKNESS,
50,Jason Miyagi,Xanax,
51,Tatarka,KAWAII,
52,Puff Daddy Feat. Faith Evans & 112,I'll Be Missing You,
53,Rels B,A Mí,
54,Post Malone,Circles,
55,Macklemore & Ryan Lewis Feat. Ray Dalton,Can't Hold Us,
56,"Qmayb Feat. J.Gonzo, Faraón Love Shady & Xvideo Token",Una Cunumi (Remix),
57,N.O.R.E. Feat. Daddy Yankee & Nina Sky & Gem Star & Big Mato,Oye Mi Canto,
58,"Skylar Grey, Polo G, Mozzy & Eminem",Last One Standing (From Venom: Let There Be Carnage),
59,J. Cole Feat. Amber Coffman & Cults,She Knows,
60,"FMK, Tiago pzk & Mau y Ricky",Prende la Cámara RMX,
61,Eminem Feat. Dido,Stan,
62,SoulChef Feat. Nieve,Write This Down,
63,IAMAKA,Murder Me,
64,"BADTRIP MUSIC, GREEN ORXNGE & Send 1",S.X.N.D. N.X.D.E.S.,
65,Latto & Mariah Carey Feat. DJ Khaled,Big Energy (Remix),
66,VAGUE003 Feat. Sadistik,drowning,
67,Pitbull,I Know You Want Me (Calle Ocho),
68,"Gucci Mane, Bruno Mars & Kodak Black",Wake Up In The Sky,
69,Tornillo,Morena,
70,Mac Miller Feat. Bilal,Congratulations,
71,Santa Fe Klan Feat. Nanpa Básico,Te Ire A Buscar,
72,Yung Lean,Ginseng Strip 2002,
73,La Santa Grifa,Amnesia,
74,Ghostemane,Mercury: Retrograde,
75,Comando Exclusivo,El Solorio,
76,Akon Feat. Snoop Dogg,I Wanna Love You,
77,Rels B,No Sabe Igual,
78,Dr. Dre Feat. Snoop Dogg,The Next Episode,
79,Nutcase22,Captain (whistle),
80,Kordhell,Live Another Day,
81,Drake Feat. WizKid & Kyla,One Dance,
82,Dr. Dre Feat. Snoop Dogg,Still D.R.E.,
83,Ivan,Psmipm 21,
84,Canserbero,"De La Vida Como Pelicula Y Su Tragedia, Comedia Y Ficción",
85,Eminem,The Real Slim Shady,
86,Cowbell Cult Feat. Joehdah,Smoke,
87,Bizarrap & Residente,"Residente: Bzrp Music Sessions, Vol. 49",
88,BONES,Hdmi,
89,Slim,Cara de Diabla,
90,The Black Eyed Peas,Where Is The Love?,
91,The Notorious B.I.G.,Big Poppa,
92,Masked Wolf,Astronaut In The Ocean,
93,Rob $tone Feat. J. Davi$ & Spooks,Chill Bill,
94,The Black Eyed Peas,My Humps,
95,Wiz Khalifa Feat. Charlie Puth,See You Again,
96,Oasis,Wonderwall,
97,XXXTENTACION,Revenge,
98,El Pinche Mara & Aleman,Hijos de la Calle,
99,GRAVECHILL,Twilight,
100,Flo Rida Feat. T-Pain,Low,
