Shazam Top 200 Mexico Chart
"Monday, 25 April 2022 [performance over the past 7 days]"
Rank,Artist,Title
1,"Harry Styles","As It Was"
2,"Pure N***a","Cnv Sound, Vol. 14"
3,"AnnenMayKantereit & Giant Rooks","Tom's Diner"
4,"Nirvana","Something In The Way"
5,"Yahritza Y Su Esencia","Soy El Unico"
6,"Danny Ocean","Fuera Del Mercado"
7,"C. Tangana","Demasiadas Mujeres"
8,"Kevin Kaarl","San Lucas"
9,"Cris Mj","Una Noche en Medellín"
10,"Polimá Westcoast & Pailita","ULTRA SOLO"
11,"Dxrk ダーク","RAVE"
12,"Oscu & Nobeat","Numero 1"
13,"Haus-A-Holics","Que Pasa"
14,"Eden Muñoz","Chale"
15,"JVKE","this is what falling in love feels like"
16,"Mora & Sech","TUS LÁGRIMAS"
17,"Guns N' Roses","Sweet Child O' Mine"
18,"zzoilo & Aitana","Mon Amour (Remix)"
19,"Willow","Wait A Minute!"
20,"Junior H & Luis R Conriquez","Los Botones Azules"
21,"Acraze Feat. Cherish","Do It to It"
22,"Elton John & Dua Lipa","Cold Heart (PNAU Remix)"
23,"Bruno Mars","Locked Out Of Heaven"
24,"Glass Animals","Heat Waves"
25,"Engelbert Humperdinck","A Man Without Love"
26,"Becky G. & KAROL G","MAMIII"
27,"Demi Lovato","Cool For The Summer"
28,"Fake Blood","I Think I Like It"
29,"Camila Cabello Feat. Ed Sheeran","Bam Bam"
30,"The Beatnuts Feat. Method Man","Se Acabo Remix (Explicit)"
31,"Bad Bunny","Vacaciones"
32,"INXS","Never Tear Us Apart"
33,"KG970","Nos Da Igual"
34,"Santa Fe Klan","Mar y Tierra"
35,"Ryan Castro","Jordan"
36,"Sebastián Yatra","Tacones Rojos"
37,"Daft Punk Feat. Pharrell Williams","Get Lucky"
38,"Calvin Harris Feat. Pharrell Williams & Katy Perry & Big Sean","Feels"
39,"Julión Álvarez & Su Norteño Banda Cuando Te Ame","Cuando Te Ame"
40,"Rauw Alejandro","MUSEO"
41,"Funk Brasil Mix","Vai Malandra"
42,"Natanael Cano & Steve Aoki","Nataaoki"
43,"Molotov","No Olvidamos"
44,"Imagine Dragons","Bones"
45,"Daddy Yankee, El Alfa & Lil Jon","BOMBÓN"
46,"Anitta","Envolver"
47,"J Balvin & Ed Sheeran","Forever My Love"
48,"MYLØ Feat. Zafra Negra","Sufriendo"
49,"Elley Duhé","MIDDLE OF THE NIGHT"
50,"Mr.Kitty","After Dark"
51,"Daddy Yankee & Bad Bunny","X ÚLTIMA VEZ"
52,"GAYLE","abcdefu"
53,"Christian Nodal","Ya No Somos Ni Seremos"
54,"Lenin Ramírez, Fuerza Regida & Banda Renovacion","Se Acabo (En Vivo)"
55,"Rauw Alejandro & Chencho Corleone","Desesperados"
56,"Imagine Dragons, JID & League of Legends","Enemy (From the series "Arcane League of Legends")"
57,"plenka","Call Me (Slowed)"
58,"Calibre 50","Míranos Ahora"
59,"Virlán García","Los Mmxx's"
60,"Paloma Faith","Only Love Can Hurt Like This (Slowed Down Version)"
61,"Carin Leon","La Boda DEl Huitlacoche (Live)"
62,"Grupo Los de la O","Fuga Pa Cali 2"
63,"Shouse","Won't Forget You"
64,"Black Sabbath","Paranoid"
65,"George Michael","Careless Whisper"
66,"Vundabar","Alien Blues"
67,"Edgardo Nuñez","El Ruddy"
68,"Farruko","Pepas"
69,"Calibre 50","Si Te Pudiera Mentir"
70,"Shaggy","Mad Mad World"
71,"The Weeknd","Save Your Tears"
72,"Jaymes Young","Infinity"
73,"Foster The People","Pumped Up Kicks"
74,"Tears For Fears","Everybody Wants To Rule The World"
75,"KAROL G","PROVENZA"
76,"Michael Bublé","Sway"
77,"Tom Odell","Another Love"
78,"AMARIA BB","Slow Motion"
79,"Sebastián Yatra","Melancólicos Anónimos"
80,"Capital Cities","Safe And Sound"
81,"Alejo, Feid & Robi","Pantysito"
82,"Los Del Norteno Banda","No Pasa Nada"
83,"Rita Payés & Elisabeth Roma","Algo Contigo"
84,"Los Lara","Fumando Mota"
85,"Black Sabbath","War Pigs"
86,"Santiago Novello","Cayo la Noche X Diles X Soy Peor (Mashup)"
87,"Marca MP","Ya Acabo"
88,"Coldplay","Yellow"
89,"Mora & Feid","LA INOCENTE"
90,"Bruno LC & Tuti DJ","ARREBATAO - Remix"
91,"Kiss","I Was Made For Lovin' You"
92,"LIL SHORDIE SCOTT","Rocking A Cardigan in Atlanta"
93,"Gotye Feat. Kimbra","Somebody That I Used To Know"
94,"Harry Styles","Sign Of The Times"
95,"Indila","Ainsi Bas La Vida"
96,"Coldplay","Hymn For The Weekend"
97,"Shawn Mendes","There's Nothing Holdin' Me Back"
98,"La Humildad De La Musica Norteña","Huapango Amor Ranchero"
99,"Bad Bunny & ABRA","SORRY PAPI"
100,"El Jordan 23 & Standly","Bailando"
101,"Los Gemelos De Sinaloa Feat. Fuerza Regida","No Le Aflojo"
102,"Grupo Los de la O","La Oveja Negra"
103,"Lykke Li","I Follow Rivers (The Magician Remix)"
104,"El Burger","No tienes motivacion"
105,"Matisse","Un Nuevo Amor"
106,"Marc Seguí, Rauw Alejandro & Pol Granch","Tiroteo (Remix)"
107,"The Outfield","Your Love"
108,"The Turtles","Happy Together"
109,"J.J. Pfeifer Feat. Grace Meredith","In Between (from "the In Between")"
110,"Standly","Pégate"
111,"Young Nudy Feat. 21 Savage","EA"
112,"J Balvin & Bad Bunny","La Canción"
113,"Julion y Su Banda","Fuentes De Ortiz"
114,"Karina","Díganle"
115,"PANXI","GAL"
116,"Baccara","Yes Sir, I Can Boogie"
117,"Joy Crookes","Feet Don't Fail Me Now"
118,"Ben E. King","Stand By Me"
119,"Daddy Yankee & Pitbull","HOT"
120,"Los Gemelos De Sinaloa","Andamos Mejor"
121,"Urba Y Rome, Lyanno & Alex Rose","Público"
122,"Hoobastank","The Reason"
123,"Yung City","This One Is for You (RIP Dad)"
124,"Marshmello & Jonas Brothers","Leave Before You Love Me"
125,"4*TOWN (From Disney and Pixar’s Turning Red)","Nobody Like U"
126,"Legado 7","El Afro (En Vivo)"
127,"Ryan Castro","Mujeriego"
128,"Måneskin","Beggin'"
129,"Nelly Furtado","Say It Right"
130,"Rauw Alejandro","Todo De Ti"
131,"Gera MX & Santa Fe Klan","Nadie Te Podrá Olvidar"
132,"Lautaro DDJ","Pegate (Remix)"
133,"Jack Harlow","First Class"
134,"Faraon Love Shady","Duro 2 Horas"
135,"Labrinth","Mount Everest"
136,"Mark Ronson Feat. Miley Cyrus","Nothing Breaks Like A Heart"
137,"El Fantasma","Fuera De Servicio"
138,"Bomba Estéreo","To My Love (Tainy Remix)"
139,"Lord Huron","The Night We Met"
140,"Ed Maverick","Fuentes de Ortiz"
141,"Adele","Oh My God"
142,"Charlie Puth","Light Switch"
143,"Eminem","Without Me"
144,"Paloma Faith","Only Love Can Hurt Like This"
145,"The Kid LAROI & Justin Bieber","Stay"
146,"Kidd Keo","Dracukeo"
147,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
148,"Matisse & Carin Leon","Como Lo Hice Yo"
149,"La Combinación Vallenata","A Pesar De Todo"
150,"Peso Pluma & Raul Vega","El Belicon"
151,"La Fiera de Ojinaga","No Paras de Hacerme Feliz (Acústico)"
152,"Blessd, Myke Towers & Ovy On The Drums","Tendencia Global"
153,"Burak Yeter Feat. Danelle Sandoval","Tuesday"
154,"Cristian Castro & Lucero","Me Reviviste"
155,"yvng shei","Deseos Standly"
156,"Coolio Feat. L.V.","Gangsta's Paradise"
157,"Vance Joy","Riptide"
158,"Iniko","Do We Have A Problem?"
159,"DUKI, De La Ghetto & Quevedo","Si Quieren Frontear"
160,"Tiësto & KAROL G","Don't Be Shy"
161,"Yahritza Y Su Esencia","Esta Noche"
162,"Adolescentes Orquesta","Virgen"
163,"Los Angeles De Charly","Me Volví A Acordar De Ti"
164,"Bruno Mars","When I Was Your Man"
165,"Wisin & Yandel Feat. Chris Brown & T-Pain","Algo Me Gusta De Ti"
166,"Olivia Rodrigo","drivers license"
167,"Natalia Lafourcade","Hasta La Raíz"
168,"Paskman & Rafa Villalba","Chiquetere"
169,"Efecto Elegante","Préstame Tu Corazón"
170,"Coldplay","Sparks"
171,"Julio Jaramillo","Reminiscencias"
172,"Sean Paul","Agarra Mi Mano"
173,"Akon","Lonely"
174,"Beach House","Space Song"
175,"Brent Morgan","Gonna Be Okay"
176,"Doja Cat Feat. SZA","Kiss Me More"
177,"Grupo Firme & Lenin Ramírez","En Tu Perra Vida"
178,"Kion Studio, Degans & Pure Negga","Mamá"
179,"La Santa Grifa","Tocame"
180,"Maroon 5","Misery"
181,"The Black Eyed Peas","I Gotta Feeling"
182,"Latto","Big Energy"
183,"Jimin & HA SUNG WOON","With You"
184,"ROSALÍA","BIZCOCHITO"
185,"CKay Feat. Axel & Dj Yo!","love nwantiti [Remix]"
186,"Ed Sheeran","Bad Habits"
187,"ABBA","Gimme! Gimme! Gimme! (A Man After Midnight)"
188,"LUDMILLA, DJ WILL 22 & Topo La Maskara Feat. Mariah Angeliq & Mr. Vegas","Socadona (Funk Remix)"
189,"VTORNIK","Money Rain (Phonk Remix)"
190,"Orla Gartland","Why Am I Like This?"
191,"Soko","We Might Be Dead By Tomorrow"
192,"BoyWithUke","Toxic"
193,"Grupo Marca Registrada","El Doctor"
194,"bbno$ Feat. Rich Brian","edamame"
195,"LAGOS & Danny Ocean","Mónaco"
196,"Dido","Thank You"
197,"Paulo Feat. Natanael Cn & Malum","Por Ti"
198,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
