Rank,Artist,Title,Genre
1,Tiësto & Ava Max,The Motto,
2,Diplo & Miguel,Don’t Forget My Love,
3,Zhnark,Baby Girl,
4,Bob Moses,Love Brand New,
5,Alesso & Katy Perry,When I'm Gone,
6,Acraze Feat. Cherish,Do It to It,
7,TIKTOKNOW,JERSEY ANNIVERSARY AYE BAY BAY,
8,"Kx5, deadmau5 & Kaskade Feat. Hayla",Escape,
9,Bee Gees,Stayin' Alive,
10,"Ahmed saad Feat. 3enba, zuksh & young zuksh","el melouk -The Kings (BlackTeck, marlexx Remix)",
11,Modjo,Lady (Hear Me Tonight),
12,Öwnboss & SEVEK,Move Your Body,
13,Clean Bandit Feat. Jess Glynne,Rather Be,
14,Emanuelf,Melody For Tanq,
15,Jax Jones Feat. MNEK,Where Did You Go? (Acoustic),
16,Tiësto & KAROL G,Don't Be Shy,
17,The Chainsmokers Feat. Daya,Don't Let Me Down,
18,Swedish House Mafia Feat. John Martin,Don't You Worry Child,
19,Never Dull Feat. Crystal Waters,In My Mind,
20,Calvin Harris Feat. Pharrell Williams & Katy Perry & Big Sean,Feels,
21,Wild Cherry,Play That Funky Music,
22,The Chainsmokers Feat. Halsey,Closer,
23,The Chainsmokers & Coldplay,Something Just Like This,
24,Father Philis,Face Beat,
25,Alice Deejay,Better Off Alone,
26,Apashe Feat. Geoffroy,Distance,
27,Swedish House Mafia & The Weeknd,Moth to a Flame,
28,Master KG Feat. Nomcebo Zikode,Jerusalema,
29,Calvin Harris Feat. Frank Ocean & Migos,Slide,
30,Swedish House Mafia & Sting,Redlight (Mixed),
31,Calvin Harris Feat. Rihanna,This Is What You Came For,
32,Lost Frequencies & Calum Scott,Where Are You Now,
33,"Regard, Troye Sivan & Tate McRae",You,
34,Swedish House Mafia & Connie Constance,Heaven Takes You Home,
35,"Zedd, Maren Morris & Grey",The Middle,
36,Lady Gaga Feat. Colby O'Donis,Just Dance,
37,Calvin Harris,Feel So Close,
38,Daft Punk,Around The World,
39,Avicii,The Nights,
40,David Guetta Feat. Sia,Titanium,
41,Zedd Feat. Foxes,Clarity,
42,David Guetta Feat. KiD CuDi,Memories,
43,Marshmello & Bastille,Happier,
44,Calvin Harris,Summer,
45,Swedish House Mafia & A$AP Rocky,Frankenstein,
46,Enur Feat. Natasja,Calabria 2007,
47,Calvin Harris & Dua Lipa,One Kiss,
48,Regard,Ride It,
49,Joel Corry Feat. MNEK,Head & Heart,
50,Fly Boi Keno,Kicking Flavors,
51,Deorro,Five Hours,
52,Jade,Don't Walk Away,
53,Martin Solveig & Dragonette,Hello,
54,Riton & Nightcrawlers Feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),
55,Avicii,Levels,
56,DJ Snake & Lil Jon,Turn Down For What,
57,Luude Feat. Colin Hay,Down Under,
58,Mike Posner,I Took A Pill In Ibiza (Seeb Remix),
59,Eiffel 65,Blue (Da Ba Dee),
60,Topic & A7S,Breaking Me,
61,"The Cast of RuPaul's Drag Race, Season 14",Fighter (Daya Betty),
62,Bee Gees,How Deep Is Your Love,
63,Corona,The Rhythm Of The Night,
64,"The Cast of RuPaul's Drag Race, Season 14",I Hate People (Willow Pill),
65,Baccara,"Yes Sir, I Can Boogie",
66,Marshmello Feat. Khalid,Silence,
67,Bronski Beat,Smalltown Boy,
68,DJ Snake Feat. Justin Bieber,Let Me Love You,
69,Bee Gees,More Than A Woman,
70,Seamus D,Like That,
71,Stacey Q,Two Of Hearts,
72,Clean Bandit Feat. Sean Paul & Anne-Marie,Rockabye,
73,Regard & Years & Years,Hallucination,
74,David Guetta Feat. Akon,Sexy Bitch,
75,IAmChino & Pitbull,Discoteca,
76,Mary Jane Girls,All Night Long,
77,Real McCoy,Another Night,
78,Benny Benassi Pres. The Biz,Satisfaction,
79,Bag Raiders,Shooting Stars,
80,Zara Larsson & MNEK,Never Forget You,
81,Skest,Swamp Skonster,
82,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,
83,Zedd & Alessia Cara,Stay,
84,"Joel Corry, David Guetta & Bryson Tiller",What Would You Do?,
85,Kim Wilde,You Keep Me Hangin' On,
86,Galantis,Runaway (U & I),
87,Tre Oh Fie Feat. DJ Schreach,Ride It,
88,RÜFÜS DU SOL,Innerbloom,
89,"Meduza, Becky Hill & Goodboys",Lose Control,
90,Alan Walker,Faded,
91,Martin Garrix,Animals,
92,David Guetta Feat. Usher,Without You,
93,Darude,Sandstorm,
94,LeAnn Rimes,How Do I Live,
95,will.i.am Feat. Britney Spears,Scream & Shout,
96,DJ Snake Feat. Bipolar Sunshine,Middle,
97,Loud Luxury Feat. Brando,Body,
98,Aventura,Enseñame A Olvidar,
99,Ce Ce Peniston,Finally,
100,Stereo MC's,Connected,
